Time,Control Output,System Response
0.00,31.00,48.10
0.10,-13.22,46.78
0.20,10.48,47.83
0.30,-2.62,47.57
0.40,4.25,47.99
0.50,0.31,48.02
0.60,2.24,48.24
0.70,1.01,48.35
0.80,1.50,48.50
0.90,1.08,48.60
1.00,1.16,48.72
1.10,0.98,48.82
1.20,0.96,48.91
1.30,0.85,49.00
1.40,0.80,49.08
1.50,0.73,49.15
1.60,0.68,49.22
1.70,0.63,49.28
1.80,0.58,49.34
1.90,0.53,49.39
2.00,0.49,49.44
2.10,0.46,49.49
2.20,0.42,49.53
2.30,0.39,49.57
2.40,0.36,49.61
2.50,0.33,49.64
2.60,0.30,49.67
2.70,0.28,49.70
2.80,0.26,49.72
2.90,0.24,49.75
3.00,0.22,49.77
3.10,0.20,49.79
3.20,0.19,49.81
3.30,0.17,49.83
3.40,0.16,49.84
3.50,0.15,49.86
3.60,0.14,49.87
3.70,0.13,49.88
3.80,0.12,49.90
3.90,0.11,49.91
4.00,0.10,49.92
4.10,0.09,49.92
4.20,0.08,49.93
4.30,0.08,49.94
4.40,0.07,49.95
4.50,0.07,49.95
4.60,0.06,49.96
4.70,0.06,49.97
4.80,0.05,49.97
4.90,0.05,49.98
5.00,0.04,49.98
5.10,0.04,49.99
5.20,0.04,49.99
5.30,0.03,49.99
5.40,0.03,50.00
5.50,0.03,50.00
5.60,0.03,50.00
5.70,0.03,50.00
5.80,0.02,50.01
5.90,0.02,50.01
6.00,0.02,50.01
6.10,0.02,50.01
6.20,0.02,50.01
6.30,0.02,50.02
6.40,0.01,50.02
6.50,0.01,50.02
6.60,0.01,50.02
6.70,0.01,50.02
6.80,0.01,50.02
6.90,0.01,50.02
7.00,0.01,50.02
7.10,0.01,50.02
7.20,0.01,50.02
7.30,0.01,50.03
7.40,0.01,50.03
7.50,0.01,50.03
7.60,0.01,50.03
7.70,0.00,50.03
7.80,0.00,50.03
7.90,0.00,50.03
8.00,0.00,50.03
8.10,0.00,50.03
8.20,0.00,50.03
8.30,0.00,50.03
8.40,0.00,50.03
8.50,0.00,50.03
8.60,0.00,50.03
8.70,0.00,50.03
8.80,0.00,50.03
8.90,0.00,50.03
9.00,0.00,50.03
9.10,0.00,50.03
9.20,0.00,50.03
9.30,0.00,50.03
9.40,0.00,50.03
9.50,0.00,50.03
9.60,0.00,50.03
9.70,0.00,50.03
9.80,0.00,50.03
9.90,0.00,50.03
