Time,Control Output,System Response
0.00,38.50,48.85
0.10,-26.14,46.24
0.20,20.94,48.33
0.30,-13.48,46.98
0.40,11.56,48.14
0.50,-6.78,47.46
0.60,6.54,48.11
0.70,-3.24,47.79
0.80,3.83,48.17
0.90,-1.38,48.04
1.00,2.37,48.27
1.10,-0.42,48.23
1.20,1.56,48.39
1.30,0.06,48.39
1.40,1.11,48.50
1.50,0.30,48.53
1.60,0.85,48.62
1.70,0.41,48.66
1.80,0.69,48.73
1.90,0.44,48.77
2.00,0.58,48.83
2.10,0.45,48.87
2.20,0.51,48.92
2.30,0.43,48.97
2.40,0.46,49.01
2.50,0.41,49.05
2.60,0.42,49.10
2.70,0.38,49.13
2.80,0.38,49.17
2.90,0.35,49.21
3.00,0.35,49.24
3.10,0.33,49.28
3.20,0.32,49.31
3.30,0.30,49.34
3.40,0.29,49.37
3.50,0.28,49.40
3.60,0.27,49.42
3.70,0.26,49.45
3.80,0.25,49.47
3.90,0.24,49.50
4.00,0.23,49.52
4.10,0.22,49.54
4.20,0.21,49.56
4.30,0.20,49.58
4.40,0.20,49.60
4.50,0.19,49.62
4.60,0.18,49.64
4.70,0.17,49.66
4.80,0.17,49.67
4.90,0.16,49.69
5.00,0.15,49.71
5.10,0.15,49.72
5.20,0.14,49.73
5.30,0.14,49.75
5.40,0.13,49.76
5.50,0.13,49.77
5.60,0.12,49.79
5.70,0.12,49.80
5.80,0.11,49.81
5.90,0.11,49.82
6.00,0.10,49.83
6.10,0.10,49.84
6.20,0.09,49.85
6.30,0.09,49.86
6.40,0.09,49.87
6.50,0.08,49.88
6.60,0.08,49.88
6.70,0.08,49.89
6.80,0.07,49.90
6.90,0.07,49.91
7.00,0.07,49.91
7.10,0.07,49.92
7.20,0.06,49.93
7.30,0.06,49.93
7.40,0.06,49.94
7.50,0.06,49.94
7.60,0.05,49.95
7.70,0.05,49.95
7.80,0.05,49.96
7.90,0.05,49.96
8.00,0.05,49.97
8.10,0.04,49.97
8.20,0.04,49.98
8.30,0.04,49.98
8.40,0.04,49.98
8.50,0.04,49.99
8.60,0.04,49.99
8.70,0.03,49.99
8.80,0.03,50.00
8.90,0.03,50.00
9.00,0.03,50.00
9.10,0.03,50.01
9.20,0.03,50.01
9.30,0.03,50.01
9.40,0.03,50.01
9.50,0.02,50.02
9.60,0.02,50.02
9.70,0.02,50.02
9.80,0.02,50.02
9.90,0.02,50.03
